"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",4,99,3,2,17,NA,447,17,1565,533
"2",3,13,4,2,314,109,66,24,1346,540
"3",3,7,2,99,453,54,451,NA,1485,967
"4",4,13,2,5,97,109,464,12,1645,980
"5",3,13,6,9,50,109,152,97,1082,2732
"6",5,2,2,5,210,30,410,66,546,926
"7",5,99,3,99,260,NA,348,NA,2324,1380
"8",3,5,2,3,74,30,456,16,1106,972
"9",3,7,99,9,42,54,NA,97,1074,4225
"10",3,7,5,3,31,54,137,44,1063,1076
"11",5,99,3,99,185,NA,148,NA,2249,1180
"12",3,13,4,9,14,109,186,97,1046,1734
"13",3,99,3,9,327,NA,23,97,1359,1055
"14",3,99,2,9,343,NA,470,97,1375,986
"15",4,99,5,99,168,NA,68,NA,1716,2132
"16",3,5,2,4,221,30,420,31,1253,936
"17",4,99,3,99,426,NA,27,NA,1974,1059
"18",4,99,3,9,352,NA,57,97,1900,1089
"19",4,5,3,7,178,47,14,1,1726,1046
"20",3,13,3,5,180,109,42,12,1212,1074
"21",3,13,2,9,303,109,411,97,1335,927
"22",3,7,3,99,218,54,84,NA,1250,1116
"23",6,3,4,9,23,16,223,97,1048,1771
"24",5,2,2,9,208,29,446,97,545,962
"25",3,99,3,99,371,NA,6,NA,1403,1038
"26",3,13,3,9,428,109,162,97,1460,1194
"27",5,2,3,9,234,18,367,97,534,1399
"28",4,7,3,99,265,54,36,NA,1813,1068
"29",99,13,6,9,NA,109,155,97,6301,2735
"30",3,13,2,5,57,109,441,12,1089,957
"31",5,13,3,9,208,109,9,97,2272,1041
"32",2,13,3,5,458,109,300,12,974,1332
"33",3,13,3,9,166,109,72,97,1198,1104
"34",2,99,3,99,441,NA,321,NA,957,1353
"35",4,13,2,9,173,109,469,97,1721,985
"36",3,13,5,9,6,109,317,97,1038,2381
"37",6,99,6,7,340,NA,294,1,2920,2874
"38",5,3,3,99,342,33,204,NA,1065,1236
"39",2,7,3,99,449,54,271,NA,965,1303
"40",3,13,2,5,185,109,397,12,1217,913
"41",5,13,3,5,210,109,332,66,2274,1364
"42",3,13,4,5,359,109,106,66,1391,1654
"43",3,13,2,5,31,109,371,66,1063,887
"44",3,7,4,99,35,54,122,NA,1067,1670
"45",3,13,3,9,307,109,52,97,1339,1084
"46",3,13,3,5,216,109,311,12,1248,1343
"47",6,2,3,9,204,25,343,97,541,1375
"48",3,5,4,7,77,47,267,1,1109,1815
"49",7,13,4,5,76,109,273,12,3172,1821
"50",6,13,3,5,324,109,11,12,2904,1043
"51",3,13,3,5,109,109,56,66,1141,1088
"52",4,7,3,99,367,54,308,NA,1915,1340
"53",5,99,3,99,365,NA,85,NA,2429,1117
"54",7,99,3,7,267,NA,310,1,3363,1342
"55",8,99,5,9,191,NA,190,97,3803,2254
"56",2,7,3,99,479,54,49,NA,995,1081
"57",4,7,3,9,259,54,38,97,1807,1070
"58",3,7,3,99,99,54,287,NA,1131,1319
"59",2,13,2,5,461,109,465,66,977,981
"60",3,7,8,99,457,54,21,NA,1489,3633
"61",5,13,3,9,351,109,69,97,2415,1101
"62",7,5,3,99,267,76,33,NA,2140,1065
"63",5,7,3,99,342,54,214,NA,2406,1246
"64",3,5,3,7,295,47,164,1,1327,1196
"65",4,5,3,99,326,76,16,NA,1874,1048
"66",3,13,3,9,388,109,65,97,1420,1097
"67",6,7,3,99,381,54,312,NA,2961,1344
"68",2,13,99,5,440,109,NA,12,956,2076
"69",6,4,3,9,204,52,23,97,1600,1055
"70",2,13,3,5,434,109,78,12,950,1110
"71",2,7,3,99,451,54,328,NA,967,1360
"72",3,7,3,9,217,54,289,97,1249,1321
"73",1,13,99,5,33,109,NA,66,549,2130
"74",3,7,5,99,21,54,135,NA,1053,2199
"75",5,13,3,2,8,109,420,26,2072,542
"76",3,13,3,9,8,109,164,97,1040,1196
"77",2,5,8,2,428,30,226,7,944,523
"78",2,13,3,5,394,109,10,66,910,1042
"79",3,99,7,2,49,NA,24,18,1081,534
"80",2,13,2,5,343,109,473,66,859,989
"81",4,99,5,99,396,NA,167,NA,1944,2231
"82",3,99,3,99,459,NA,373,NA,1491,1405
"83",5,13,2,5,353,109,451,12,2417,967
"84",4,99,3,9,443,NA,52,97,1991,1084
"85",7,3,3,99,267,42,28,NA,1074,1060
"86",5,3,3,9,197,24,76,97,1056,1108
"87",3,7,5,2,70,54,137,21,1102,537
"88",7,13,3,5,334,109,240,12,3430,1272
"89",5,13,4,9,395,109,323,97,2459,1871
"90",3,7,3,9,59,54,67,97,1091,1099
"91",3,7,4,99,12,54,34,NA,1044,1582
"92",4,2,3,99,240,27,91,NA,543,1123
"93",2,13,3,5,460,109,157,12,976,1189
"94",3,13,4,9,362,109,76,97,1394,1624
"95",3,99,3,99,57,NA,133,NA,1089,1165
"96",3,7,4,99,228,54,319,NA,1260,1867
"97",3,13,3,5,334,109,70,12,1366,1102
"98",3,99,6,9,16,NA,20,97,1048,2600
"99",3,7,3,9,403,54,267,97,1435,1299
"100",2,13,2,9,366,109,386,97,882,902
"101",3,7,3,99,102,54,89,NA,1134,1121
