"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",5,99,4,6,388,NA,322,54,2452,1870
"2",5,99,5,12,134,NA,103,150,2198,2167
"3",7,3,4,12,371,7,257,150,1039,1805
"4",6,99,4,6,415,NA,229,54,2995,1777
"5",5,99,6,4,46,NA,402,47,2110,1595
"6",6,99,5,6,32,NA,59,21,2612,2123
"7",5,99,5,12,345,NA,294,150,2409,2358
"8",6,4,4,5,21,54,113,44,1602,1661
"9",5,99,6,12,232,NA,175,150,2296,2755
"10",4,99,4,12,222,NA,287,150,1770,1835
"11",4,99,6,12,59,NA,100,150,1607,2680
"12",5,99,6,12,153,NA,95,150,2217,2675
"13",4,6,4,12,55,52,411,150,1603,1959
"14",6,99,8,6,142,NA,113,83,2722,2663
"15",4,99,4,6,56,NA,39,3,1604,1587
"16",4,99,5,12,43,NA,245,150,1591,2309
"17",5,99,10,5,7,NA,45,64,2071,2128
"18",4,99,5,6,343,NA,79,21,1891,2143
"19",6,99,5,3,50,NA,101,24,2630,1056
"20",6,4,4,5,143,45,283,64,1593,1831
"21",4,99,4,12,29,NA,7,150,1577,1555
"22",5,99,7,99,223,NA,20,NA,2287,3116
"23",5,99,4,6,258,NA,174,83,2322,1722
"24",6,99,5,99,13,NA,196,NA,2593,2260
"25",9,6,4,5,101,52,38,21,2632,1586
"26",5,99,4,12,119,NA,200,150,2183,1748
"27",4,99,5,12,21,NA,147,150,1569,2211
"28",4,99,4,6,102,NA,2,21,1650,1550
"29",8,99,6,99,58,NA,60,NA,3670,2640
"30",5,99,4,12,246,NA,166,150,2310,1714
"31",5,99,4,6,72,NA,6,3,2136,1554
"32",4,99,4,6,213,NA,159,21,1761,1707
"33",4,99,5,6,336,NA,162,83,1884,2226
"34",4,99,5,12,40,NA,419,150,1588,2483
"35",4,99,5,6,416,NA,327,54,1964,2391
"36",4,99,4,12,2,NA,250,150,1550,1798
"37",6,99,5,12,263,NA,19,150,2843,2083
"38",10,6,4,12,315,47,230,150,2627,1778
"39",6,99,5,12,61,NA,75,150,2641,2139
"40",5,99,4,12,392,NA,253,150,2456,1801
"41",5,99,5,12,58,NA,97,150,2122,2161
"42",5,99,4,12,139,NA,168,150,2203,1716
"43",7,99,4,12,66,NA,60,150,3162,1608
"44",4,99,99,12,220,NA,NA,150,1768,5826
"45",5,99,4,12,120,NA,417,150,2184,1965
"46",4,99,4,6,70,NA,129,21,1618,1677
"47",4,99,4,12,393,NA,126,150,1941,1674
"48",4,99,10,4,87,NA,45,20,1635,1568
"49",4,99,5,12,424,NA,385,150,1972,2449
