"","Mask1.RESP.Trial.","Mask2.RESP.Trial.","Mask3.RESP.Trial.","Mask4.RESP.Trial.","Mask5.RESP.Trial.","Mask6.RESP.Trial.","Mask7.RESP.Trial.","Mask8.RESP.Trial.","Mask9.RESP.Trial.","Mask10.RESP.Trial.","Mask11.RESP.Trial.","Mask12.RESP.Trial.","Mask13.RESP.Trial.","Mask14.RESP.Trial.","Mask15.RESP.Trial.","Mask16.RESP.Trial.","Mask17.RESP.Trial.","Mask18.RESP.Trial.","Mask1.RT.Trial.","Mask2.RT.Trial.","Mask3.RT.Trial.","Mask4.RT.Trial.","Mask5.RT.Trial.","Mask6.RT.Trial.","Mask7.RT.Trial.","Mask8.RT.Trial.","Mask9.RT.Trial.","Mask10.RT.Trial.","Mask11.RT.Trial.","Mask12.RT.Trial.","Mask13.RT.Trial.","Mask14.RT.Trial.","Mask15.RT.Trial.","Mask16.RT.Trial.","Mask17.RT.Trial.","Mask18.RT.Trial."
"1",0,0,"0","0","{SPACE}","0","{SPACE}","{SPACE}","0","0",0,0,0,0,0,0,0,0,0,0,0,0,388,0,85,58,0,0,0,0,0,0,0,0,0,0
"2",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,134,50,167,0,101,113,0,0,0,0,0,0,0,0
"3",0,0,"0","0","0","0","{SPACE}","0","{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,101,113,0,0,0,0,0,0,0,0
"4",0,0,"0","0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,415,85,58,0,0,0,0,0,0,0,0,0,0
"5",0,0,"0","0","{SPACE}","0","{SPACE}","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,46,0,382,0,0,113,0,0,0,0,0,0,0,0
"6",0,0,"0","0","0","{SPACE}","0","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,113,0,0,0,0,0,0,0,0
"7",0,0,"0","0","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,345,21,0,275,0,315,0,0,0,0,0,0,0,0
"8",0,0,"0","0","0","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,275,0,315,0,0,0,0,0,0,0,0
"9",0,0,"0","0","{SPACE}","0","{SPACE}","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,232,0,70,0,0,315,0,0,0,0,0,0,0,0
"10",0,0,"0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,222,345,21,0,275,0,315,0,0,0,0,0,0,0,0
"11",0,0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,59,0,142,60,0,0,315,0,0,0,0,0,0,0,0
"12",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,153,251,70,0,0,315,0,0,0,0,0,0,0,0
"13",0,0,"0","{SPACE}","0","0","0","0","{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,101,113,0,0,0,0,0,0,0,0
"14",0,0,"0","0","0","{SPACE}","0","{SPACE}","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,58,0,0,0,0,0,0,0,0,0,0
"15",0,0,"0","{SPACE}","0","{SPACE}","0","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,56,0,63,0,0,0,113,0,0,0,0,0,0,0,0
"16",0,0,"0","{SPACE}","{SPACE}","0","0","{SPACE}","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,43,73,0,0,275,0,315,0,0,0,0,0,0,0,0
"17",0,0,"0","0","{SPACE}","{SPACE}","0","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,7,143,0,0,0,113,0,0,0,0,0,0,0,0
"18",0,0,"0","{SPACE}","0","0","{SPACE}","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,343,0,0,382,0,0,113,0,0,0,0,0,0,0,0
"19",0,0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,50,167,0,101,113,0,0,0,0,0,0,0,0
"20",0,0,"0","0","0","{SPACE}","0","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,113,0,0,0,0,0,0,0,0
"21",0,0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,29,147,0,167,0,101,113,0,0,0,0,0,0,0,0
"22",0,0,"0","0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,0,0,0,0,0,0,0,0,0,0,223,415,85,58,0,0,0,0,0,0,0,0,0,0
"23",0,0,"0","0","{SPACE}","{SPACE}","0","{SPACE}","0","0",0,0,0,0,0,0,0,0,0,0,0,0,258,128,0,58,0,0,0,0,0,0,0,0,0,0
"24",0,0,"0","0","0","{SPACE}","{SPACE}","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,13,79,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,"0","0","0","0","0","0","{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,113,0,0,0,0,0,0,0,0
"26",0,0,"0","0","{SPACE}","{SPACE}","0","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,119,150,0,0,0,113,0,0,0,0,0,0,0,0
"27",0,0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,21,20,109,60,0,0,315,0,0,0,0,0,0,0,0
