"","TMask1.RESP.Trial.","TMask2.RESP.Trial.","TMask3.RESP.Trial.","TMask4.RESP.Trial.","TMask5.RESP.Trial.","TMask6.RESP.Trial.","TMask7.RESP.Trial.","TMask8.RESP.Trial.","TMask9.RESP.Trial.","TMask10.RESP.Trial.","TMask11.RESP.Trial.","TMask12.RESP.Trial.","TMask13.RESP.Trial.","TMask14.RESP.Trial.","TMask15.RESP.Trial.","TMask16.RESP.Trial.","TMask17.RESP.Trial.","TMask18.RESP.Trial.","TMask1.RT.Trial.","TMask2.RT.Trial.","TMask3.RT.Trial.","TMask4.RT.Trial.","TMask5.RT.Trial.","TMask6.RT.Trial.","TMask7.RT.Trial.","TMask8.RT.Trial.","TMask9.RT.Trial.","TMask10.RT.Trial.","TMask11.RT.Trial.","TMask12.RT.Trial.","TMask13.RT.Trial.","TMask14.RT.Trial.","TMask15.RT.Trial.","TMask16.RT.Trial.","TMask17.RT.Trial.","TMask18.RT.Trial."
"1",0,"0","0","{SPACE}","0","0","0","0",0,"0","{SPACE}",0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"2",0,"0","0","0","{SPACE}","{SPACE}","{SPACE}","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,146,98,66,114,0,149,100,0,0,0,0,0,0,0
"3",0,"0","0","{SPACE}","0","{SPACE}","0","0",0,"0","{SPACE}",0,0,0,0,0,0,0,0,0,0,359,0,157,0,0,0,0,100,0,0,0,0,0,0,0
"4",0,"0","0","0","{SPACE}","0","0","0",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,52,100,0,0,0,0,0,0,0
"5",0,"0","0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,93,2,98,66,114,0,149,100,0,0,0,0,0,0,0
"6",0,"0","0","{SPACE}","0","{SPACE}","0","0",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,181,0,174,0,0,0,149,100,0,0,0,0,0,0,0
"7",0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,6,327,0,114,0,149,100,0,0,0,0,0,0,0
"8",0,"0","0","0","{SPACE}","{SPACE}","{SPACE}","0",0,"0","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,263,219,362,0,0,0,100,0,0,0,0,0,0,0
"9",0,"0","0","{SPACE}","0","{SPACE}","0","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,80,0,371,0,114,0,149,100,0,0,0,0,0,0,0
"10",0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,156,146,371,0,114,0,149,100,0,0,0,0,0,0,0
"11",0,"0","0","{SPACE}","0","0","0","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,85,0,0,0,114,0,149,100,0,0,0,0,0,0,0
"12",0,"0","0","0","{SPACE}","{SPACE}","0","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,18,371,0,114,0,149,100,0,0,0,0,0,0,0
"13",0,"0","0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0","{SPACE}",0,0,0,0,0,0,0,0,0,0,325,411,0,362,0,0,0,100,0,0,0,0,0,0,0
"14",0,"0","0","0","0","0","{SPACE}","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,0,130,114,0,149,100,0,0,0,0,0,0,0
"15",0,"0","0","{SPACE}","0","0","{SPACE}","0",0,"0","{SPACE}",0,0,0,0,0,0,0,0,0,0,353,0,0,362,0,0,0,100,0,0,0,0,0,0,0
"16",0,"0","0","0","0","{SPACE}","0","0",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,149,100,0,0,0,0,0,0,0
"17",0,"0","0","{SPACE}","0","{SPACE}","{SPACE}","0",0,"0","{SPACE}",0,0,0,0,0,0,0,0,0,0,391,0,196,362,0,0,0,100,0,0,0,0,0,0,0
"18",0,"0","0","0","0","{SPACE}","0","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,277,0,114,0,149,100,0,0,0,0,0,0,0
"19",0,"0","0","{SPACE}","{SPACE}","0","{SPACE}","0",0,"0","{SPACE}",0,0,0,0,0,0,0,0,0,0,55,411,0,362,0,0,0,100,0,0,0,0,0,0,0
"20",0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,168,146,371,0,114,0,149,100,0,0,0,0,0,0,0
"21",0,"0","0","{SPACE}","{SPACE}","0","0","0",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,358,100,0,0,0,0,52,100,0,0,0,0,0,0,0
"22",0,"0","0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","{SPACE}",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,131,146,98,66,114,0,149,100,0,0,0,0,0,0,0
"23",0,"0","0","0","{SPACE}","{SPACE}","0","0",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,0,325,57,0,0,0,52,100,0,0,0,0,0,0,0
"24",0,"0","0","{SPACE}","{SPACE}","{SPACE}","0","0",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,138,388,57,0,0,0,52,100,0,0,0,0,0,0,0
"25",0,"0","0","{SPACE}","{SPACE}","0","0","0",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,396,94,0,0,0,0,52,100,0,0,0,0,0,0,0
"26",0,"0","0","{SPACE}","0","{SPACE}","0","0",0,"{SPACE}","{SPACE}",0,0,0,0,0,0,0,0,0,0,401,0,185,0,0,0,149,100,0,0,0,0,0,0,0
