"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",5,9,3,99,321,74,272,NA,2385,1304
"2",99,6,8,6,NA,90,321,24,2670,2604
"3",5,9,5,99,341,49,307,NA,2405,2371
"4",4,6,4,6,263,90,354,24,1811,1902
"5",4,7,3,5,394,91,102,37,1942,1134
"6",3,7,5,99,406,91,103,NA,1438,2167
"7",5,9,5,99,211,74,392,NA,2275,2456
"8",4,9,3,7,336,74,411,85,1884,1443
"9",3,9,9,99,333,49,63,NA,1365,4191
"10",4,9,3,7,357,74,255,85,1905,1287
"11",5,6,3,99,337,8,179,NA,2401,1211
"12",3,9,6,4,261,74,43,5,1293,1553
"13",4,5,5,99,123,77,31,NA,1671,2095
"14",3,9,3,99,291,74,92,NA,1323,1124
"15",4,9,3,99,188,74,130,NA,1736,1162
"16",6,9,4,99,83,74,339,NA,2663,1887
"17",4,7,3,5,104,91,81,37,1652,1113
"18",4,9,6,4,246,49,85,6,1794,1554
"19",5,7,3,99,37,91,118,NA,2101,1150
"20",4,9,3,7,254,74,265,85,1802,1297
"21",3,9,3,4,313,74,389,5,1345,1421
"22",10,5,8,6,52,54,321,93,2118,2673
"23",3,99,4,6,315,NA,136,93,1347,1684
"24",99,2,3,6,NA,5,243,24,521,1275
"25",8,9,3,99,149,49,309,NA,3761,1341
"26",8,5,6,4,149,77,112,25,2141,1573
"27",8,3,3,7,254,15,407,52,1047,1439
"28",4,9,6,3,352,74,114,26,1900,1058
"29",8,5,5,99,254,27,332,NA,2091,2396
"30",3,7,4,99,411,91,35,NA,1443,1583
"31",3,6,3,99,421,8,357,NA,1453,1389
"32",4,9,4,99,399,74,248,NA,1947,1796
"33",5,6,3,99,316,8,292,NA,2380,1324
"34",3,9,5,99,218,49,65,NA,1250,2129
"35",6,9,4,99,333,74,278,NA,2913,1826
"36",4,99,4,6,240,NA,13,24,1788,1561
"37",4,7,8,5,11,91,321,37,1559,2101
"38",6,99,3,6,389,NA,198,93,2969,1230
"39",4,9,4,99,341,49,450,NA,1889,1998
"40",3,7,4,99,466,91,257,NA,1498,1805
"41",7,9,4,99,240,74,346,NA,3336,1894
"42",8,9,4,99,254,74,345,NA,3866,1893
"43",3,9,3,99,258,49,107,NA,1290,1139
"44",3,7,3,99,341,91,440,NA,1373,1472
"45",6,9,4,99,297,74,423,NA,2877,1971
"46",3,9,3,6,379,74,335,46,1411,1367
"47",4,7,4,99,289,91,298,NA,1837,1846
"48",3,9,4,7,224,74,118,85,1256,1666
"49",6,9,7,99,294,49,13,NA,2874,3109
"50",7,9,99,7,6,74,NA,85,3102,3181
"51",4,9,4,99,13,49,389,NA,1561,1937
"52",3,9,3,99,300,49,219,NA,1332,1251
"53",4,99,6,99,389,NA,139,NA,1937,2719
"54",6,9,3,99,356,74,283,NA,2936,1315
"55",6,9,6,4,18,49,20,19,2598,1567
"56",3,7,5,99,126,91,135,NA,1158,2199
"57",4,9,3,7,363,74,414,52,1911,1446
"58",3,9,9,4,415,49,63,16,1447,1564
"59",3,7,3,6,270,91,185,19,1302,1217
"60",3,9,6,99,289,49,20,NA,1321,2600
"61",5,9,5,7,340,74,95,85,2404,2159
"62",3,9,3,99,219,49,352,NA,1251,1384
"63",3,5,5,99,321,77,363,NA,1353,2427
"64",4,9,6,99,402,74,114,NA,1950,2694
"65",3,5,8,99,169,77,262,NA,1201,3874
"66",5,7,5,99,82,91,263,NA,2146,2327
