"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",6,99,4,99,296,NA,315,NA,2876,1863
"2",6,99,4,99,74,NA,86,NA,2654,1634
"3",5,6,99,5,154,70,NA,33,2218,2097
"4",4,7,4,99,431,74,254,NA,1979,1802
"5",4,99,5,99,313,NA,171,NA,1861,2235
"6",5,7,4,5,289,84,287,42,2353,1835
"7",5,99,4,99,46,NA,400,NA,2110,1948
"8",4,7,5,99,120,74,2,NA,1668,2066
"9",5,99,4,99,103,NA,305,NA,2167,1853
"10",4,7,4,99,148,74,225,NA,1696,1773
"11",4,99,4,99,180,NA,52,NA,1728,1600
"12",5,99,4,99,12,NA,264,NA,2076,1812
"13",4,99,4,99,258,NA,292,NA,1806,1840
"14",4,7,4,99,44,74,375,NA,1592,1923
"15",4,99,5,99,74,NA,12,NA,1622,2076
"16",4,7,5,99,303,74,300,NA,1851,2364
"17",4,99,4,99,350,NA,407,NA,1898,1955
"18",6,99,6,99,110,NA,284,NA,2690,2864
"19",5,99,6,99,308,NA,195,NA,2372,2775
"20",5,99,4,99,89,NA,398,NA,2153,1946
"21",13,6,4,99,222,26,359,NA,2606,1907
"22",6,99,5,99,211,NA,281,NA,2791,2345
"23",4,99,4,99,191,NA,328,NA,1739,1876
"24",4,7,4,99,291,74,409,NA,1839,1957
"25",4,99,4,99,113,NA,261,NA,1661,1809
"26",5,99,4,99,144,NA,186,NA,2208,1734
"27",4,7,4,5,329,74,54,32,1877,1602
"28",4,99,4,99,421,NA,289,NA,1969,1837
"29",4,7,4,99,374,74,281,NA,1922,1829
"30",5,99,4,99,174,NA,261,NA,2238,1809
"31",4,99,4,99,201,NA,304,NA,1749,1852
"32",5,99,5,99,384,NA,260,NA,2448,2324
"33",4,7,6,99,189,84,405,NA,1737,2985
"34",5,6,5,6,301,70,274,34,2365,2338
