"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",8,6,4,99,364,35,400,NA,2615,1948
"2",6,99,4,99,77,NA,225,NA,2657,1773
"3",6,99,6,10,295,NA,290,80,2875,2870
"4",5,99,4,99,186,NA,239,NA,2250,1787
"5",12,7,5,99,270,103,149,NA,3199,2213
"6",5,99,5,99,282,NA,296,NA,2346,2360
"7",6,99,7,99,275,NA,264,NA,2855,3360
"8",4,99,4,8,400,NA,225,127,1948,1773
"9",6,99,6,7,276,NA,386,18,2856,2966
"10",4,6,5,10,313,61,196,80,1861,2260
"11",5,99,99,8,382,NA,NA,23,2446,3635
"12",5,99,6,10,118,NA,286,80,2182,2866
"13",4,99,7,8,348,NA,349,127,1896,3445
"14",4,99,6,99,274,NA,206,NA,1822,2786
"15",5,6,3,10,301,61,312,80,2365,1344
"16",6,99,5,99,268,NA,154,NA,2848,2218
"17",8,99,4,10,284,NA,276,80,3896,1824
"18",6,99,7,10,162,NA,220,80,2742,3316
"19",6,99,5,6,411,NA,336,76,2991,2400
"20",6,99,4,7,72,NA,275,18,2652,1823
"21",6,4,4,99,266,10,132,NA,1558,1680
"22",4,99,4,99,370,NA,341,NA,1918,1889
"23",5,99,5,8,73,NA,194,127,2137,2258
"24",6,99,6,10,101,NA,167,80,2681,2747
"25",4,99,5,8,280,NA,167,127,1828,2231
"26",4,7,4,99,330,103,434,NA,1878,1982
"27",5,99,4,10,265,NA,333,80,2329,1881
"28",5,6,4,10,176,61,318,80,2240,1866
"29",6,99,4,99,308,NA,224,NA,2888,1772
"30",5,6,5,10,111,61,434,80,2175,2498
"31",6,99,4,99,57,NA,402,NA,2637,1950
"32",5,99,4,8,358,NA,446,127,2422,1994
"33",7,5,4,99,320,28,360,NA,2092,1908
"34",4,7,7,99,135,103,315,NA,1683,3411
"35",6,99,7,10,186,NA,86,80,2766,3182
"36",5,6,5,10,83,61,155,80,2147,2219
"37",5,99,4,99,120,NA,444,NA,2184,1992
"38",5,6,5,10,289,61,34,80,2353,2098
