"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"222",4,99,4,11,306,NA,180,48,1854,1728
"223",10,4,4,11,59,62,36,48,1610,1584
"224",6,4,4,11,345,51,427,48,1599,1975
"225",4,8,3,7,140,101,418,81,1688,1450
"226",5,99,5,11,48,NA,43,48,2112,2107
"227",6,7,5,11,325,85,312,48,2905,2376
"228",4,9,4,11,32,121,450,48,1580,1998
"229",10,99,4,11,59,NA,251,48,4703,1799
"230",4,99,4,11,226,NA,163,48,1774,1711
"231",5,7,99,4,357,88,NA,50,2421,1598
"232",6,9,7,11,345,121,90,48,2925,3186
"233",5,9,5,11,89,121,155,48,2153,2219
"234",3,99,3,11,385,NA,363,48,1417,1395
"235",4,9,4,11,137,121,121,48,1685,1669
"236",8,99,4,7,284,NA,135,81,3896,1683
"237",5,99,5,11,190,NA,54,48,2254,2118
"238",3,5,3,11,272,23,429,48,1304,1461
"239",4,8,4,11,104,101,65,48,1652,1613
"240",5,7,6,11,141,88,135,48,2205,2715
