"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",4,99,4,99,305,NA,91,NA,1853,1639
"2",6,13,4,99,153,146,86,NA,2733,1634
"3",4,13,4,99,273,146,136,NA,1821,1684
"4",5,13,5,99,211,146,160,NA,2275,2224
"5",5,13,6,4,356,146,230,23,2420,1571
"6",4,13,8,5,405,146,124,16,1953,2080
"7",5,13,6,99,209,146,243,NA,2273,2823
"8",6,13,5,99,280,146,162,NA,2860,2226
"9",6,7,4,99,315,77,344,NA,2895,1892
"10",4,13,5,99,375,146,282,NA,1923,2346
"11",4,13,5,99,264,146,217,NA,1812,2281
"12",5,99,7,99,339,NA,190,NA,2403,3286
"13",7,99,6,99,150,NA,359,NA,3246,2939
"14",4,13,9,5,312,146,206,44,1860,2108
"15",4,99,3,99,283,NA,251,NA,1831,1283
"16",4,99,4,99,354,NA,408,NA,1902,1956
"17",99,7,4,99,NA,77,411,NA,3173,1959
"18",5,9,5,99,175,108,415,NA,2239,2479
"19",6,13,4,99,317,146,239,NA,2897,1787
"20",7,13,5,3,66,146,160,32,3162,1064
"21",4,9,4,99,368,108,134,NA,1916,1682
"22",5,13,9,99,336,146,206,NA,2400,4334
"23",5,13,4,99,266,146,430,NA,2330,1978
"24",4,13,4,99,216,146,265,NA,1764,1813
"25",4,9,4,6,306,108,112,71,1854,1660
"26",4,99,4,99,295,NA,85,NA,1843,1633
"27",4,9,4,6,89,108,381,71,1637,1929
"28",4,99,4,99,390,NA,292,NA,1938,1840
"29",6,9,5,6,289,108,160,71,2869,2224
"30",4,7,5,99,360,77,212,NA,1908,2276
"31",6,13,4,99,75,146,372,NA,2655,1920
"32",4,5,4,99,189,17,259,NA,1737,1807
"33",8,4,4,99,29,25,262,NA,1573,1810
"34",4,5,5,99,168,2,252,NA,1716,2316
"35",3,13,4,99,161,146,50,NA,1193,1598
"36",4,99,4,99,281,NA,103,NA,1829,1651
"37",6,99,5,99,81,NA,231,NA,2661,2295
"38",5,99,4,99,327,NA,243,NA,2391,1791
"39",4,99,5,99,362,NA,284,NA,1910,2348
"40",5,99,6,99,350,NA,270,NA,2414,2850
"41",4,13,6,99,116,146,394,NA,1664,2974
"42",4,99,6,99,356,NA,127,NA,1904,2707
"43",6,99,5,99,19,NA,220,NA,2599,2284
"44",5,99,4,99,214,NA,328,NA,2278,1876
"45",4,13,7,99,323,146,372,NA,1871,3468
"46",4,99,5,99,313,NA,74,NA,1861,2138
"47",5,13,5,99,391,146,85,NA,2455,2149
"48",5,99,6,99,153,NA,333,NA,2217,2913
"49",5,9,9,6,324,108,284,71,2388,2651
"50",4,13,5,99,77,146,275,NA,1625,2339
"51",6,4,4,99,296,19,324,NA,1567,1872
"52",6,4,6,99,171,41,373,NA,1589,2953
"53",8,13,8,6,126,146,124,41,3738,2621
