ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli3,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,39,1,S3,238,5,-0.499,-0.421,-0.432,-0.39,D67,7.838,4.522,21.817989,-0.411,7.5,6.18,-0.46,4,H A N D S O M E,{SHIFT}Handsome{SPACE},1558,67,E Y E L A S H,{SHIFT}Eyelash{SPACE},1463,3,1,1,1038,1071
NetworksDemasking,39,1,S3,184,4,-0.361,-0.586,-0.267,-0.62,D68,9.582,9.874,23.476022,-0.4435,7.5,9.728,-0.4735,15,E X C I T I N G,{SHIFT}Exciting{SPACE},2306,68,F A C T O R Y,{SHIFT}Factory{SPACE},1631,3,1,1,3648,1313
NetworksDemasking,39,1,S3,114,5,-0.499,-0.558,-0.117,-0.804,D69,8.671,10.3,18.870114,-0.4605,4.5,9.4855,-0.5285,3,A L T O,{SHIFT}Alto{SPACE},1113,69,F A I T H,{SHIFT}Faith{SPACE},1046,3,1,1,1608,1140
NetworksDemasking,39,1,S3,13,3,-0.527,-0.353,-0.568,-0.636,D70,9.602,10.67,11.281003,-0.602,6,10.136,-0.44,2,P A R E N T,{SHIFT}Parent{SPACE},1283,70,F E M A L E,{SHIFT}Female{SPACE},1077,2,1,1,884,854
NetworksDemasking,39,1,S3,170,3,-0.271,-0.508,-0.226,-0.253,D71,9.134,5.342,15.238109,-0.2395,6.5,7.238,-0.3895,4,P U N I S H M E N T,{SHIFT}Punishment{SPACE},2158,71,F I B,{SHIFT}Fib{SPACE},1193,3,1,1,1377,1092
NetworksDemasking,39,1,S3,37,5,-0.479,-0.273,-0.512,-0.338,D72,9.132,7.782,21.25819,-0.425,6,8.457,-0.376,3,I N F A N T,{SHIFT}Infant{SPACE},1256,72,F I E R C E,{SHIFT}Fierce{SPACE},1455,4,1,1,1596,2114
NetworksDemasking,39,1,S3,167,4,-0.496,-0.581,-0.516,-0.673,D73,8.259,10.453,16.442205,-0.5945,4.5,9.356,-0.5385,6,S I L K,{SHIFT}Silk{SPACE},915,73,F L A M E,{SHIFT}Flame{SPACE},950,3,1,1,1102,1205
NetworksDemasking,39,1,S3,140,Inf,-0.47,-0.233,-0.615,-0.319,D74,7.155,8.953,Inf,-0.467,4.5,8.054,-0.3515,6,C R I B,{SHIFT}Crib{SPACE},1435,74,F L E E T,{SHIFT}Fleet{SPACE},1147,4,1,1,1076,1227
NetworksDemasking,39,1,S3,58,3,-0.439,-0.427,-0.453,-0.603,D75,8.313,8.439,9.805482,-0.528,4.5,8.376,-0.433,3,H E R B,{SHIFT}Herb{SPACE},966,75,F L O U R,{SHIFT}Flour{SPACE},1125,2,1,1,972,531
NetworksDemasking,39,1,S3,84,4,-0.461,-0.535,-0.385,-0.845,D76,6.667,9.001,19.233376,-0.615,6.5,7.834,-0.498,6,H U S T L E,{SHIFT}Hustle{SPACE},1310,76,F L O W E R S,{SHIFT}Flowers{SPACE},1395,4,1,1,522,1234
NetworksDemasking,39,1,S3,60,4,-0.377,-0.512,-0.779,-0.272,D77,12.572,5.403,15.647725,-0.5255,4,8.9875,-0.4445,15,S E T,{SHIFT}Set{SPACE},847,77,F L U N K,{SHIFT}Flunk{SPACE},1198,3,1,1,947,1263
NetworksDemasking,39,1,S3,108,5,0.114,-0.469,0.129,-0.558,D78,5.984,8.348,22.112181,-0.2145,5.5,7.166,-0.1775,6,S E R E N E,{SHIFT}Serene{SPACE},1600,78,F L U S H,{SHIFT}Flush{SPACE},1163,2,1,1,2681,1226
NetworksDemasking,39,1,S3,88,1,-0.655,-0.393,-0.441,-0.611,D79,10.161,10.97,2.874469,-0.526,6,10.5655,-0.524,1,A H E A D,{SHIFT}Ahead{SPACE},1249,79,F O R W A R D,{SHIFT}Forward{SPACE},1463,1,1,1,1039,522
NetworksDemasking,39,1,S3,152,3,-0.397,-0.59,-0.664,-0.672,D80,11.466,12.405,15.951215,-0.668,4,11.9355,-0.4935,2,S A L E,{SHIFT}Sale{SPACE},1156,80,F R E E,{SHIFT}Free{SPACE},1255,1,1,1,1052,956
NetworksDemasking,39,1,S3,190,5,-0.123,-0.422,-0.524,-0.452,D81,7.603,7.792,23.306788,-0.488,7,7.6975,-0.2725,6,S T R I P E S,{SHIFT}Stripes{SPACE},4248,81,F R E E W A Y,{SHIFT}Freeway{SPACE},3317,4,1,1,1624,2169
NetworksDemasking,39,1,S3,164,1,-0.568,-0.609,-0.498,-0.694,D82,9.885,11.303,1.894507,-0.596,6,10.594,-0.5885,2,F E L L O W,{SHIFT}Fellow{SPACE},1386,82,F R I E N D,{SHIFT}Friend{SPACE},1654,1,1,1,959,889
NetworksDemasking,39,1,S3,118,2,-0.667,-0.328,-0.694,-0.557,D83,8.162,6.4,11.536247,-0.6255,5.5,7.281,-0.4975,6,A W A K E,{SHIFT}Awake{SPACE},1245,83,F R I G H T,{SHIFT}Fright{SPACE},1317,2,1,1,1145,1187
NetworksDemasking,39,1,S3,11,4,-0.449,-0.477,-0.402,-0.561,D84,7.834,10.967,18.443928,-0.4815,7.5,9.4005,-0.463,2,A L G E B R A,{SHIFT}Algebra{SPACE},1584,84,F U N C T I O N,{SHIFT}Function{SPACE},1610,1,1,1,1132,1676
NetworksDemasking,39,1,S3,57,Inf,-0.552,-0.026,-0.399,0.167,D85,11.889,5.861,Inf,-0.116,6.5,8.875,-0.289,6,N E T W O R K,{SHIFT}Network{SPACE},2001,85,G E Y S E R,{SHIFT}Geyser{SPACE},1527,4,1,1,982,2271
NetworksDemasking,39,1,S3,171,4,-0.318,-0.492,-0.545,-0.442,D86,10.437,7.206,14.054498,-0.4935,6.5,8.8215,-0.405,3,F E A T U R E,{SHIFT}Feature{SPACE},2048,86,G I G G L E,{SHIFT}Giggle{SPACE},1289,3,1,1,1065,1723
NetworksDemasking,39,1,S3,177,4,-0.722,-0.548,-0.676,-0.792,D87,14.35,10.167,14.82655,-0.734,4,12.2585,-0.635,3,W I L L,will{SPACE},927,87,G O A L,{SHIFT}Goal{SPACE},885,2,1,1,2749,991
NetworksDemasking,39,1,S3,232,6,-0.683,-0.192,-0.418,-0.281,D88,9.337,8.61,28.996846,-0.3495,6,8.9735,-0.4375,4,U P S E T,{SHIFT}Upset{SPACE},1392,88,G O D D E S S,{SHIFT}Goddess{SPACE},1456,3,1,1,1081,1263
NetworksDemasking,39,1,S3,59,6,-0.735,-0.175,-0.801,-0.044,D89,9.217,8.198,23.674681,-0.4225,6,8.7075,-0.455,2,W A V E S,{SHIFT}Waves{SPACE},1355,89,G R A N I T E,{SHIFT}Granite{SPACE},1354,3,1,1,1576,2192
NetworksDemasking,39,1,S3,122,Inf,-0.436,-0.527,0.048,-0.265,D90,4.477,6.599,Inf,-0.1085,5,5.538,-0.4815,6,R U M M Y,{SHIFT}Rummy{SPACE},1620,90,G R A T E,{SHIFT}Grate{SPACE},1561,3,1,1,4199,1757
