ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli2,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,TRecogniseTarget
NetworksDemasking,38,1,S2,35,7,-0.685,-0.512,-0.768,-0.318,C82,8.909,10.824,32.796254,-0.543,4,9.8665,-0.5985,2,M O O D,MOOD{SPACE},1410,82,F E L T,FELT{SPACE},977,2,1,1,3629,2301
NetworksDemasking,38,1,S2,82,4,-0.373,-0.582,-0.474,-0.766,C83,8.473,10.176,17.566627,-0.62,3.5,9.3245,-0.4775,15,O W E,OWE{SPACE},628,83,F L A T,FLAT{SPACE},912,3,1,1,1440,1363
NetworksDemasking,38,1,S2,85,4,-0.275,-0.476,-0.25,-0.678,C84,7.221,9.33,18.335512,-0.464,6.5,8.2755,-0.3755,4,M O L E C U L E,MOLECULE{SPACE},1777,84,F L E S H,FLESH{SPACE},1573,3,1,1,1734,1597
NetworksDemasking,38,1,S2,232,3,-0.523,-0.306,-0.55,-0.646,C85,8.386,10.314,16.526866,-0.598,6.5,9.35,-0.4145,15,S H E L T E R,SHELTER{SPACE},1155,85,F L I G H T,FLIGHT{SPACE},1275,3,1,1,1720,1657
NetworksDemasking,38,1,S2,178,1,-0.023,-0.541,-0.01,-0.804,C86,6.7,10.289,4.30117,-0.407,5.5,8.4945,-0.282,2,M O S Q U I T O,MOSQUITO{SPACE},3788,86,F L Y,FLY{SPACE},737,1,1,1,1796,1699
NetworksDemasking,38,1,S2,61,3,-0.585,-0.695,-0.474,-0.599,C87,7.048,8.205,13.743173,-0.5365,5.5,7.6265,-0.64,15,P E R F U M E,PERFUME{SPACE},1742,87,F O A M,FOAM{SPACE},1881,3,1,1,2315,1801
NetworksDemasking,38,1,S2,67,6,-0.007,-0.374,-0.01,-0.454,C88,6.887,8.444,24.090986,-0.232,7,7.6655,-0.1905,15,S T E N C H,STENCH{SPACE},2369,88,F R O N T I E R,FRONTIER{SPACE},2628,4,1,1,1796,1856
NetworksDemasking,38,1,S2,98,4,-0.549,0.061,-0.697,-0.555,C89,9.714,8.504,19.542281,-0.626,4.5,9.109,-0.244,1,F U E L,FUEL{SPACE},1212,89,G A U G E,GAUGE{SPACE},1657,2,1,1,1597,1779
NetworksDemasking,38,1,S2,230,4,-0.567,-0.216,-0.595,-0.645,C90,7.62,11.906,14.911787,-0.62,6,9.763,-0.3915,3,B A D G E,BADGE{SPACE},1770,90,G E N E R A L,GENERAL{SPACE},4429,3,1,1,1844,2594
NetworksDemasking,38,1,S2,159,3,-0.361,-0.492,-0.176,-0.442,C91,6.129,7.206,9.575776,-0.309,6,6.6675,-0.4265,2,J O Y O U S,JOYOUS{SPACE},1633,91,G I G G L E,GIGGLE{SPACE},2606,2,1,1,2262,2396
NetworksDemasking,38,1,S2,228,4,-0.648,-0.576,-0.569,-0.608,C92,10.304,8.604,13.876367,-0.5885,4,9.454,-0.612,2,A S S,ASS{SPACE},764,92,G L O B E,GLOBE{SPACE},2671,2,1,1,1042,1665
NetworksDemasking,38,1,S2,244,4,-0.732,-0.65,-0.644,-0.807,C93,8.76,8.572,15.108612,-0.7255,3.5,8.666,-0.691,6,P I G,PIG{SPACE},1446,93,G L U E,GLUE{SPACE},1163,3,1,1,2339,1695
NetworksDemasking,38,1,S2,72,4,0.423,-0.441,0.089,-0.656,C94,8.099,9.377,16.844681,-0.2835,7.5,8.738,-0.009,15,A R I T H M E T I C,ARITHMETIC{SPACE},5836,94,G R A C E,GRACE{SPACE},1468,4,1,1,2878,1565
NetworksDemasking,38,1,S2,43,4,-0.462,-0.635,-0.635,-0.688,C95,6.994,9.605,14.982723,-0.6615,5,8.2995,-0.5485,3,B R A W L,BRAWL{SPACE},2498,95,G R A D E,GRADE{SPACE},1090,3,1,1,3278,2085
NetworksDemasking,38,1,S2,70,5,-0.478,-0.556,-0.44,-0.472,C96,10.486,10.013,21.729859,-0.456,5.5,10.2495,-0.517,3,I N C O M E,INCOME{SPACE},1598,96,G R A N T,GRANT{SPACE},1682,2,1,1,2781,2358
NetworksDemasking,38,1,S2,88,5,-0.643,-0.646,-0.671,-0.415,C97,9.741,8.422,25.410957,-0.543,5.5,9.0815,-0.6445,3,A R T I S T,ARTIST{SPACE},1837,97,G R A P H,GRAPH{SPACE},1613,3,1,1,1948,1880
NetworksDemasking,38,1,S2,125,3,0.067,-0.685,-0.126,-0.503,C98,6.46,8.27,16.114991,-0.3145,6,7.365,-0.309,3,T A N T R U M,TANTRUM{SPACE},2778,98,G R I E F,GRIEF{SPACE},6085,2,1,1,2143,3237
NetworksDemasking,38,1,S2,96,1,-0.607,-0.559,-0.565,-0.166,C99,8.941,6.982,6.348728,-0.3655,4,7.9615,-0.583,2,D I R T,DIRT{SPACE},1024,99,G R I T,GRIT{SPACE},1499,1,1,1,1566,1598
NetworksDemasking,38,1,S2,144,3,-0.479,-0.415,-0.662,-0.415,C100,11.336,8.11,15.487688,-0.5385,5.5,9.723,-0.447,3,D E A L,DEAL{SPACE},885,100,G R O C E R Y,GROCERY{SPACE},2117,3,1,1,1295,1719
NetworksDemasking,38,1,S2,135,4,-0.216,-0.35,-0.467,-0.611,C101,9.74,9.435,16.388693,-0.539,7.5,9.5875,-0.283,4,D E M O C R A C Y,DEMOCRACY{SPACE},2746,101,G U I L T Y,GUILTY{SPACE},2158,3,1,1,1817,1564
NetworksDemasking,38,1,S2,197,2,-0.468,-0.688,-0.741,-0.668,C102,13.098,11.34,10.900993,-0.7045,3,12.219,-0.578,2,S H E,SHE{SPACE},649,102,G U Y,GUY{SPACE},1569,2,1,1,1878,1684
