"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",4,99,4,99,55,NA,240,NA,1603,1788
"2",4,18,3,99,370,174,81,NA,1918,1113
"3",3,18,7,3,391,174,228,14,1423,1046
"4",6,99,5,99,90,NA,77,NA,2670,2141
"5",4,18,10,99,285,174,35,NA,1833,4679
"6",6,99,3,9,73,NA,355,89,2653,1387
"7",5,99,4,99,212,NA,447,NA,2276,1995
"8",3,99,4,9,364,NA,392,89,1396,1940
"9",4,18,5,6,307,174,291,34,1855,2355
"10",3,99,4,9,453,NA,217,89,1485,1765
"11",5,99,99,6,162,NA,NA,67,2226,2647
"12",4,18,3,6,128,174,214,66,1676,1246
"13",3,99,4,8,376,NA,178,75,1408,1726
"14",3,18,3,99,356,174,206,NA,1388,1238
"15",3,8,5,9,341,77,252,89,1373,2316
"16",4,99,5,9,6,NA,382,89,1554,2446
"17",4,99,5,9,329,NA,22,89,1877,2086
"18",6,18,99,8,86,174,NA,68,2666,3680
"19",3,18,5,99,217,174,136,NA,1249,2200
"20",3,18,3,99,20,174,402,NA,1052,1434
"21",4,99,4,99,238,NA,416,NA,1786,1964
"22",4,18,4,99,309,174,258,NA,1857,1806
"23",4,99,4,9,310,NA,387,89,1858,1935
"24",13,6,5,9,102,27,251,89,2607,2315
"25",6,99,5,9,21,NA,311,89,2601,2375
"26",3,18,3,99,234,174,333,NA,1266,1365
"27",3,8,3,9,388,77,393,89,1420,1425
"28",4,6,4,9,352,29,111,89,1900,1659
"29",3,18,3,99,238,174,328,NA,1270,1360
"30",6,4,4,9,375,14,449,89,1562,1997
"31",5,18,4,99,287,174,315,NA,2351,1863
"32",3,18,3,99,338,174,84,NA,1370,1116
"33",4,18,3,99,154,174,421,NA,1702,1453
"34",4,18,4,99,208,174,241,NA,1756,1789
"35",3,99,4,9,342,NA,175,89,1374,1723
"36",3,18,5,99,381,174,365,NA,1413,2429
"37",6,99,4,9,228,NA,303,89,2808,1851
"38",4,18,3,99,125,174,308,NA,1673,1340
"39",4,18,3,6,171,174,280,66,1719,1312
"40",7,99,4,9,273,NA,383,89,3369,1931
"41",6,99,4,6,98,NA,419,67,2678,1967
"42",7,18,5,99,23,174,120,NA,3119,2184
"43",5,99,5,99,206,NA,279,NA,2270,2343
"44",4,99,4,9,122,NA,183,89,1670,1731
"45",4,99,3,8,80,NA,345,75,1628,1377
"46",4,99,3,9,427,NA,460,89,1975,1492
"47",5,18,6,9,322,174,34,23,2386,2614
"48",6,99,3,99,401,NA,423,NA,2981,1455
"49",4,18,3,9,133,174,331,23,1681,1363
"50",4,18,3,99,400,174,301,NA,1948,1333
"51",3,18,3,6,369,174,259,66,1401,1291
"52",3,99,6,9,441,NA,255,89,1473,2835
"53",7,99,5,7,171,NA,6,92,3267,2070
"54",13,99,4,9,102,NA,446,89,6294,1994
"55",6,18,99,9,235,174,NA,23,2815,4151
"56",3,18,5,6,270,174,68,34,1302,2132
"57",5,99,4,99,67,NA,289,NA,2131,1837
"58",4,5,5,9,355,47,280,89,1903,2344
"59",6,18,4,9,330,174,401,23,2910,1949
"60",5,99,3,9,170,NA,283,89,2234,1315
"61",6,99,4,8,148,NA,389,75,2728,1937
"62",4,99,4,9,129,NA,183,89,1677,1731
"63",4,99,3,5,226,NA,456,16,1774,1488
"64",3,8,5,9,307,77,413,89,1339,2477
"65",4,99,6,9,282,NA,199,89,1830,2779
"66",4,18,5,99,395,174,158,NA,1943,2222
