"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",4,99,4,6,341,NA,199,4,1889,1747
"2",6,99,5,99,312,NA,316,NA,2892,2380
"3",6,99,4,99,189,NA,374,NA,2769,1922
"4",4,99,10,6,363,NA,29,4,1911,2584
"5",4,99,5,8,183,NA,86,5,1731,2150
"6",5,8,6,99,159,112,265,NA,2223,2845
"7",12,6,5,99,284,65,434,NA,2645,2498
"8",7,5,5,99,219,60,284,NA,2124,2348
"9",5,9,8,99,81,31,247,NA,2145,3859
"10",5,99,5,8,352,NA,17,5,2416,2081
"11",6,9,5,99,266,31,205,NA,2846,2269
"12",6,4,5,99,14,47,46,NA,1595,2110
"13",5,6,6,99,182,65,115,NA,2246,2695
"14",5,6,5,99,115,43,261,NA,2179,2325
"15",12,6,4,99,284,50,314,NA,2630,1862
"16",99,9,5,99,NA,74,340,NA,4202,2404
"17",5,99,6,99,291,NA,277,NA,2355,2857
"18",6,4,4,8,413,23,262,5,1571,1810
"19",7,99,5,99,115,NA,251,NA,3211,2315
"20",5,6,4,99,387,43,308,NA,2451,1856
"21",12,8,7,99,284,112,37,NA,3724,3133
"22",5,99,11,99,349,NA,13,NA,2413,5173
"23",5,9,6,99,370,31,331,NA,2434,2911
"24",4,99,4,99,254,NA,300,NA,1802,1848
"25",10,7,5,99,223,38,20,NA,3134,2084
"26",6,99,5,8,225,NA,359,5,2805,2423
"27",5,9,4,99,333,31,350,NA,2397,1898
"28",5,99,7,99,312,NA,182,NA,2376,3278
"29",12,99,7,99,284,NA,286,NA,5960,3382
"30",7,5,5,99,333,46,93,NA,2110,2157
"31",9,6,5,99,119,87,408,NA,2667,2472
"32",6,99,6,8,256,NA,104,5,2836,2684
"33",5,9,5,6,289,31,138,26,2353,2202
"34",4,9,5,99,199,31,231,NA,1747,2295
"35",9,99,7,99,32,NA,370,NA,4160,3466
"36",4,99,4,8,448,NA,449,5,1996,1997
"37",8,9,6,99,36,31,99,NA,3648,2679
"38",6,99,6,99,396,NA,84,NA,2976,2664
"39",6,99,8,99,396,NA,27,NA,2976,3639
"40",5,7,11,6,429,99,192,15,2493,2595
"41",12,9,9,5,284,31,300,49,4159,2113
"42",5,9,5,99,41,31,146,NA,2105,2210
"43",5,9,6,99,220,31,185,NA,2284,2765
"44",5,99,5,99,348,NA,400,NA,2412,2464
"45",5,9,99,7,334,74,NA,38,2398,3134
"46",7,4,5,99,153,47,271,NA,1595,2335
"47",6,7,6,8,166,2,51,74,2746,2631
"48",4,99,10,6,85,NA,29,93,1633,2673
"49",5,9,5,99,432,31,272,NA,2496,2336
"50",6,99,5,8,413,NA,25,5,2993,2089
"51",5,99,4,99,325,NA,414,NA,2389,1962
"52",12,6,6,99,284,50,73,NA,2630,2653
"53",6,7,8,99,226,2,29,NA,2806,3641
"54",10,7,5,8,223,2,179,74,3098,2243
"55",9,99,7,99,119,NA,359,NA,4247,3455
"56",5,99,4,8,412,NA,202,5,2476,1750
"57",5,99,4,8,168,NA,175,5,2232,1723
"58",10,6,11,6,223,2,192,9,2582,2589
"59",5,99,4,8,127,NA,286,5,2191,1834
"60",6,4,7,99,189,60,286,NA,1608,3382
"61",6,99,6,99,226,NA,121,NA,2806,2701
"62",5,99,5,99,210,NA,210,NA,2274,2274
"63",6,9,4,99,86,31,230,NA,2666,1778
"64",6,99,5,99,48,NA,52,NA,2628,2116
"65",6,99,10,8,79,NA,29,96,2659,3708
"66",10,7,5,99,223,99,178,NA,3195,2242
"67",5,99,10,8,265,NA,29,5,2329,3617
"68",5,9,6,99,4,31,122,NA,2068,2702
"69",5,9,4,6,165,31,266,82,2229,1814
"70",5,99,5,99,151,NA,223,NA,2215,2287
"71",5,99,5,99,371,NA,333,NA,2435,2397
"72",8,5,6,99,36,46,89,NA,2110,2669
"73",8,99,5,99,153,NA,324,NA,3765,2388
"74",6,7,11,6,406,2,192,23,2986,2603
"75",10,99,4,99,223,NA,376,NA,4867,1924
"76",4,5,5,99,353,46,125,NA,1901,2189
"77",6,99,6,99,367,NA,268,NA,2947,2848
"78",5,9,4,99,27,31,315,NA,2091,1863
"79",11,99,3,99,188,NA,363,NA,5348,1395
"80",12,5,8,6,284,60,145,44,2124,2624
"81",5,9,10,6,261,31,29,26,2325,2606
"82",5,99,4,99,232,NA,171,NA,2296,1719
"83",4,99,7,99,385,NA,26,NA,1933,3122
"84",6,9,4,99,97,31,322,NA,2677,1870
"85",5,99,8,5,240,NA,29,2,2304,2066
"86",6,99,4,99,25,NA,208,NA,2605,1756
