"","Mask1.RESP.Trial.","Mask2.RESP.Trial.","Mask3.RESP.Trial.","Mask4.RESP.Trial.","Mask5.RESP.Trial.","Mask6.RESP.Trial.","Mask7.RESP.Trial.","Mask8.RESP.Trial.","Mask9.RESP.Trial.","Mask10.RESP.Trial.","Mask11.RESP.Trial.","Mask12.RESP.Trial.","Mask13.RESP.Trial.","Mask14.RESP.Trial.","Mask15.RESP.Trial.","Mask16.RESP.Trial.","Mask17.RESP.Trial.","Mask18.RESP.Trial.","Mask1.RT.Trial.","Mask2.RT.Trial.","Mask3.RT.Trial.","Mask4.RT.Trial.","Mask5.RT.Trial.","Mask6.RT.Trial.","Mask7.RT.Trial.","Mask8.RT.Trial.","Mask9.RT.Trial.","Mask10.RT.Trial.","Mask11.RT.Trial.","Mask12.RT.Trial.","Mask13.RT.Trial.","Mask14.RT.Trial.","Mask15.RT.Trial.","Mask16.RT.Trial.","Mask17.RT.Trial.","Mask18.RT.Trial."
"1",0,"0","0","{SPACE}","0","0","{SPACE}","{SPACE}","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,0,65,0,0,150,315,0,0,0,0,0,208,0,0,0,0
"2",0,"0","0","0","0","0","{SPACE}","0","0",0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0
"3",0,"0","0","{SPACE}","{SPACE}","0","0","0","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,0,310,99,0,0,0,0,0,0,0,0,208,0,0,0,0
"4",0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,277,171,0,343,0,315,0,0,0,0,0,208,0,0,0,0
"5",0,"0","{SPACE}","{SPACE}","0","0","{SPACE}","{SPACE}","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,71,65,0,0,150,315,0,0,0,0,0,208,0,0,0,0
"6",0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0","{SPACE}",0,0,0,0,"0",0,0,0,0,0,0,141,415,101,160,0,0,29,0,0,0,0,0,0,0,0,0
"7",0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,135,26,0,343,0,315,0,0,0,0,0,208,0,0,0,0
"8",0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,172,171,0,343,0,315,0,0,0,0,0,208,0,0,0,0
"9",0,"0","{SPACE}","{SPACE}","{SPACE}","{SPACE}","{SPACE}","0","0",0,0,0,0,"0",0,0,0,0,0,0,121,202,110,116,178,0,0,0,0,0,0,0,0,0,0,0
"10",0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","{SPACE}","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,462,171,0,343,0,315,0,0,0,0,0,208,0,0,0,0
"11",0,"0","0","{SPACE}","0","0","0","{SPACE}","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,0,14,0,0,0,315,0,0,0,0,0,208,0,0,0,0
"12",0,"0","{SPACE}","0","{SPACE}","0","0","0","0",0,0,0,0,"{SPACE}",0,0,0,0,0,0,93,0,99,0,0,0,0,0,0,0,0,208,0,0,0,0
