"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",5,99,4,99,19,NA,24,NA,2083,1572
"2",6,99,4,99,331,NA,219,NA,2911,1767
"3",6,3,4,8,331,47,297,6,1079,1845
"4",5,99,5,3,414,NA,27,44,2478,1076
"5",3,6,4,99,281,83,378,NA,1313,1926
"6",5,99,4,5,130,NA,319,57,2194,1867
"7",4,99,6,99,395,NA,381,NA,1943,2961
"8",6,3,4,8,46,15,8,6,1047,1556
"9",5,99,6,99,322,NA,308,NA,2386,2888
"10",5,99,5,99,368,NA,317,NA,2432,2381
"11",5,99,4,99,24,NA,364,NA,2088,1912
"12",4,99,5,99,74,NA,97,NA,1622,2161
"13",4,5,5,99,390,24,236,NA,1938,2300
"14",4,99,4,99,222,NA,84,NA,1770,1632
"15",4,99,4,99,283,NA,112,NA,1831,1660
"16",6,4,4,99,301,21,416,NA,1569,1964
"17",5,3,7,4,167,11,56,31,1043,1579
"18",4,99,4,8,200,NA,8,6,1748,1556
"19",4,99,4,99,425,NA,135,NA,1973,1683
"20",4,99,4,99,200,NA,378,NA,1748,1926
"21",5,99,7,99,228,NA,321,NA,2292,3417
"22",4,99,5,99,137,NA,112,NA,1685,2176
"23",4,99,4,99,307,NA,168,NA,1855,1716
"24",6,3,4,99,301,22,187,NA,1054,1735
"25",4,99,4,99,84,NA,58,NA,1632,1606
"26",5,99,4,99,117,NA,210,NA,2181,1758
"27",7,5,4,99,108,24,363,NA,2088,1911
"28",4,99,6,8,156,NA,74,6,1704,2654
"29",7,99,5,99,108,NA,19,NA,3204,2083
"30",4,99,4,99,25,NA,255,NA,1573,1803
"31",5,3,6,4,35,8,13,59,1040,1607
"32",5,6,4,99,86,83,355,NA,2150,1903
"33",3,99,3,8,383,NA,375,6,1415,1407
"34",7,3,5,99,108,17,149,NA,1049,2213
"35",4,99,4,99,424,NA,114,NA,1972,1662
"36",4,99,5,99,369,NA,300,NA,1917,2364
"37",5,99,4,99,56,NA,86,NA,2120,1634
"38",5,99,4,99,349,NA,428,NA,2413,1976
"39",3,99,4,99,117,NA,23,NA,1149,1571
"40",4,99,10,3,285,NA,342,6,1833,1038
"41",5,99,4,99,167,NA,77,NA,2231,1625
"42",5,99,4,99,23,NA,273,NA,2087,1821
"43",4,99,3,99,2,NA,450,NA,1550,1482
"44",7,99,5,99,54,NA,308,NA,3150,2372
"45",6,99,4,99,316,NA,336,NA,2896,1884
"46",99,6,4,99,NA,83,121,NA,2663,1669
"47",3,99,4,99,383,NA,25,NA,1415,1573
"48",4,99,4,99,5,NA,388,NA,1553,1936
"49",8,99,10,99,350,NA,342,NA,3962,4986
"50",6,4,4,99,408,9,60,NA,1557,1608
"51",4,99,6,99,340,NA,12,NA,1888,2592
"52",4,99,6,4,368,NA,381,52,1916,1600
"53",4,99,6,4,312,NA,64,17,1860,1565
"54",5,99,4,99,193,NA,132,NA,2257,1680
"55",4,99,5,99,443,NA,68,NA,1991,2132
"56",4,99,6,4,181,NA,381,22,1729,1570
"57",4,99,4,99,230,NA,124,NA,1778,1672
"58",5,99,4,99,313,NA,401,NA,2377,1949
"59",4,99,3,99,280,NA,366,NA,1828,1398
"60",4,6,5,99,118,83,52,NA,1666,2116
"61",3,99,3,99,397,NA,464,NA,1429,1496
"62",7,4,99,5,90,11,NA,57,1559,2121
"63",4,99,4,99,327,NA,7,NA,1875,1555
"64",4,99,6,4,239,NA,287,19,1787,1567
"65",4,99,10,8,75,NA,342,6,1623,3618
"66",5,99,4,99,102,NA,193,NA,2166,1741
"67",5,99,7,4,153,NA,56,8,2217,1556
"68",4,6,5,99,172,83,61,NA,1720,2125
"69",6,99,4,8,46,NA,381,6,2626,1929
"70",3,99,4,99,362,NA,325,NA,1394,1873
"71",4,99,4,8,71,NA,429,6,1619,1977
"72",4,99,5,99,53,NA,124,NA,1601,2188
"73",5,99,4,99,305,NA,305,NA,2369,1853
"74",4,99,4,99,377,NA,219,NA,1925,1767
"75",4,99,4,5,322,NA,450,57,1870,1998
"76",5,3,4,99,193,39,325,NA,1071,1873
"77",4,5,4,99,333,3,117,NA,1881,1665
"78",7,3,4,99,242,14,397,NA,1046,1945
"79",6,99,4,99,301,NA,9,NA,2881,1557
"80",4,99,3,99,395,NA,434,NA,1943,1466
"81",5,99,6,99,8,NA,64,NA,2072,2644
"82",4,99,6,4,377,NA,163,11,1925,1559
"83",4,99,4,99,340,NA,348,NA,1888,1896
"84",4,99,4,99,279,NA,369,NA,1827,1917
"85",4,99,4,99,260,NA,48,NA,1808,1596
"86",7,5,5,99,90,3,232,NA,2067,2296
"87",4,99,5,3,238,NA,27,22,1786,1054
"88",3,99,4,99,447,NA,347,NA,1479,1895
"89",5,3,4,99,427,47,387,NA,1079,1935
"90",4,99,5,3,23,NA,42,19,1571,1051
"91",4,99,5,99,28,NA,236,NA,1576,2300
"92",3,99,3,99,244,NA,444,NA,1276,1476
"93",4,99,4,99,44,NA,2,NA,1592,1550
"94",4,99,4,99,418,NA,382,NA,1966,1930
"95",4,5,4,99,266,3,269,NA,1814,1817
"96",3,4,4,99,398,9,436,NA,1430,1984
"97",4,99,4,99,176,NA,89,NA,1724,1637
"98",5,99,4,99,90,NA,306,NA,2154,1854
"99",4,99,4,99,2,NA,441,NA,1550,1989
"100",4,99,6,8,249,NA,147,6,1797,2727
"101",4,99,4,99,43,NA,42,NA,1591,1590
"102",4,99,3,99,353,NA,464,NA,1901,1496
"103",4,99,3,4,331,NA,463,4,1879,1495
"104",4,99,6,3,284,NA,381,39,1832,1071
"105",5,99,4,99,272,NA,240,NA,2336,1788
"106",7,99,4,99,314,NA,281,NA,3410,1829
"107",6,99,4,99,265,NA,333,NA,2845,1881
