"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",4,99,4,99,194,NA,341,NA,1742,1889
"2",4,99,4,99,241,NA,125,NA,1789,1673
"3",6,4,5,99,86,22,114,NA,1570,2178
"4",4,9,7,4,271,84,3,22,1819,1570
"5",4,99,6,99,103,NA,41,NA,1651,2621
"6",4,99,5,3,117,NA,195,45,1665,1077
"7",4,99,6,4,187,NA,41,28,1735,1576
"8",4,99,3,99,278,NA,454,NA,1826,1486
"9",5,99,5,99,42,NA,154,NA,2106,2218
"10",5,99,4,99,19,NA,70,NA,2083,1618
"11",4,99,4,99,369,NA,78,NA,1917,1626
"12",3,99,3,99,323,NA,451,NA,1355,1483
"13",4,99,4,99,166,NA,304,NA,1714,1852
"14",5,99,5,3,46,NA,154,15,2110,1047
"15",3,99,4,99,447,NA,91,NA,1479,1639
"16",4,99,4,99,284,NA,191,NA,1832,1739
"17",4,99,4,7,34,NA,345,24,1582,1893
"18",3,99,3,99,301,NA,425,NA,1333,1457
"19",4,99,4,99,36,NA,134,NA,1584,1682
"20",4,99,4,99,435,NA,311,NA,1983,1859
"21",4,99,3,99,83,NA,378,NA,1631,1410
"22",5,99,4,99,8,NA,349,NA,2072,1897
"23",4,99,3,99,16,NA,392,NA,1564,1424
"24",5,99,4,7,107,NA,253,24,2171,1801
"25",4,99,4,99,349,NA,436,NA,1897,1984
"26",4,99,4,99,55,NA,121,NA,1603,1669
"27",3,99,4,99,370,NA,156,NA,1402,1704
"28",3,99,4,99,433,NA,407,NA,1465,1955
"29",11,5,7,4,180,56,3,8,2120,1556
"30",3,99,3,99,456,NA,344,NA,1488,1376
"31",4,99,4,99,338,NA,97,NA,1886,1645
"32",7,99,4,99,83,NA,252,NA,3179,1800
"33",3,99,3,99,407,NA,401,NA,1439,1433
"34",6,4,99,7,8,50,NA,24,1598,3120
"35",6,4,6,99,8,19,20,NA,1567,2600
"36",4,99,4,99,191,NA,216,NA,1739,1764
"37",4,99,4,99,63,NA,265,NA,1611,1813
"38",4,99,4,99,377,NA,325,NA,1925,1873
"39",3,99,4,99,325,NA,424,NA,1357,1972
"40",5,3,5,99,19,2,346,NA,1034,2410
"41",7,99,4,99,199,NA,116,NA,3295,1664
"42",3,99,3,99,224,NA,401,NA,1256,1433
"43",4,99,5,99,385,NA,188,NA,1933,2252
"44",5,99,5,99,182,NA,37,NA,2246,2101
"45",3,6,4,99,374,38,41,NA,1406,1589
"46",3,99,3,99,363,NA,376,NA,1395,1408
"47",5,99,4,99,131,NA,246,NA,2195,1794
"48",4,99,5,99,101,NA,266,NA,1649,2330
"49",4,99,4,99,408,NA,288,NA,1956,1836
"50",3,99,7,4,414,NA,89,13,1446,1561
"51",3,99,3,99,464,NA,436,NA,1496,1468
"52",5,3,5,7,83,10,102,24,1042,2166
"53",4,99,3,99,183,NA,454,NA,1731,1486
"54",6,4,4,99,86,28,444,NA,1576,1992
"55",3,99,5,99,461,NA,134,NA,1493,2198
"56",4,99,5,99,300,NA,147,NA,1848,2211
"57",4,99,4,99,193,NA,431,NA,1741,1979
"58",3,99,4,99,279,NA,156,NA,1311,1704
"59",7,3,4,99,353,3,121,NA,1035,1669
"60",4,99,4,99,140,NA,159,NA,1688,1707
"61",4,99,4,99,57,NA,115,NA,1605,1663
"62",4,99,4,99,394,NA,332,NA,1942,1880
"63",4,99,4,99,412,NA,55,NA,1960,1603
"64",4,99,4,99,20,NA,98,NA,1568,1646
"65",99,3,6,3,NA,7,41,9,1039,1041
"66",6,99,5,99,8,NA,378,NA,2588,2442
"67",4,99,4,99,346,NA,389,NA,1894,1937
"68",4,99,5,3,263,NA,86,14,1811,1046
"69",5,99,4,99,169,NA,53,NA,2233,1601
"70",5,3,4,99,46,35,20,NA,1067,1568
"71",3,99,4,99,431,NA,102,NA,1463,1650
"72",4,99,4,99,362,NA,370,NA,1910,1918
"73",4,99,3,99,191,NA,398,NA,1739,1430
"74",3,99,4,99,315,NA,297,NA,1347,1845
"75",4,99,4,99,372,NA,250,NA,1920,1798
"76",4,99,4,99,274,NA,63,NA,1822,1611
"77",3,99,4,99,333,NA,9,NA,1365,1557
"78",6,4,6,3,105,17,41,11,1565,1043
"79",5,3,4,99,19,29,71,NA,1061,1619
"80",4,99,4,99,89,NA,149,NA,1637,1697
"81",4,6,4,99,398,38,131,NA,1946,1679
"82",14,4,4,99,171,31,267,NA,1579,1815
"83",3,99,4,99,439,NA,318,NA,1471,1866
"84",4,99,5,3,18,NA,86,39,1566,1071
"85",4,99,4,99,5,NA,260,NA,1553,1808
"86",4,99,3,99,375,NA,442,NA,1923,1474
"87",5,99,5,99,180,NA,41,NA,2244,2105
"88",4,99,4,99,345,NA,62,NA,1893,1610
"89",4,99,4,99,367,NA,144,NA,1915,1692
"90",5,99,5,99,164,NA,134,NA,2228,2198
"91",3,4,4,99,420,22,248,NA,1452,1796
"92",4,99,4,99,163,NA,108,NA,1711,1656
"93",99,3,6,4,NA,13,41,18,1045,1566
"94",3,99,3,99,397,NA,398,NA,1429,1430
"95",5,99,4,7,65,NA,288,24,2129,1836
"96",4,99,4,99,208,NA,384,NA,1756,1932
"97",5,99,4,99,318,NA,220,NA,2382,1768
"98",4,99,4,99,254,NA,171,NA,1802,1719
"99",4,99,5,99,416,NA,408,NA,1964,2472
"100",11,4,4,99,180,52,348,NA,1600,1896
"101",5,99,4,99,298,NA,363,NA,2362,1911
"102",3,99,4,99,365,NA,172,NA,1397,1720
"103",4,99,4,99,201,NA,171,NA,1749,1719
"104",4,99,4,99,49,NA,362,NA,1597,1910
"105",6,99,5,99,86,NA,346,NA,2666,2410
"106",4,99,3,99,406,NA,466,NA,1954,1498
"107",4,99,7,4,394,NA,89,55,1942,1603
"108",6,99,4,99,299,NA,33,NA,2879,1581
"109",5,99,4,99,85,NA,43,NA,2149,1591
"110",3,99,4,99,453,NA,306,NA,1485,1854
"111",4,99,5,99,133,NA,316,NA,1681,2380
"112",4,6,4,99,42,38,285,NA,1590,1833
"113",3,99,4,99,280,NA,280,NA,1312,1828
"114",3,99,3,99,325,NA,445,NA,1357,1477
"115",4,99,4,99,64,NA,399,NA,1612,1947
"116",4,99,5,3,239,NA,154,31,1787,1063
"117",5,99,4,99,13,NA,383,NA,2077,1931
"118",4,99,5,99,236,NA,195,NA,1784,2259
"119",4,99,3,99,106,NA,458,NA,1654,1490
"120",4,99,5,3,200,NA,419,10,1748,1042
"121",5,99,7,99,219,NA,89,NA,2283,3185
"122",4,99,5,3,99,NA,154,20,1647,1052
"123",4,99,4,99,25,NA,343,NA,1573,1891
"124",4,99,3,99,77,NA,451,NA,1625,1483
"125",4,99,4,99,112,NA,175,NA,1660,1723
"126",3,99,4,99,426,NA,205,NA,1458,1753
"127",4,99,4,99,432,NA,383,NA,1980,1931
"128",5,99,4,99,38,NA,267,NA,2102,1815
"129",3,99,3,99,315,NA,291,NA,1347,1323
"130",11,4,6,4,180,16,41,23,1564,1571
"131",4,99,5,99,197,NA,364,NA,1745,2428
"132",5,99,4,99,146,NA,120,NA,2210,1668
"133",6,99,6,99,2,NA,314,NA,2582,2894
"134",3,99,4,99,426,NA,319,NA,1458,1867
"135",4,99,5,3,283,NA,154,35,1831,1067
"136",4,99,4,99,317,NA,253,NA,1865,1801
"137",4,5,8,99,121,56,373,NA,1669,3985
"138",3,99,3,99,438,NA,370,NA,1470,1402
"139",4,99,3,99,341,NA,447,NA,1889,1479
"140",4,99,3,99,208,NA,378,NA,1756,1410
"141",5,9,4,99,176,84,140,NA,2240,1688
"142",4,99,5,99,135,NA,86,NA,1683,2150
"143",3,99,4,99,380,NA,57,NA,1412,1605
"144",4,99,3,99,208,NA,407,NA,1756,1439
"145",4,99,5,99,207,NA,419,NA,1755,2483
"146",5,3,4,99,42,19,88,NA,1051,1636
"147",3,99,4,99,452,NA,82,NA,1484,1630
"148",4,99,3,99,243,NA,424,NA,1791,1456
"149",11,99,4,99,180,NA,2,NA,5340,1550
"150",3,99,4,99,426,NA,364,NA,1458,1912
"151",3,99,3,99,383,NA,348,NA,1415,1380
"152",4,99,3,99,353,NA,460,NA,1901,1492
"153",5,99,4,99,331,NA,169,NA,2395,1717
"154",4,99,5,99,36,NA,154,NA,1584,2218
"155",4,99,3,99,51,NA,312,NA,1599,1344
"156",6,4,4,99,2,30,343,NA,1578,1891
"157",5,99,5,3,7,NA,86,45,2071,1077
"158",4,99,4,99,331,NA,48,NA,1879,1596
"159",4,5,4,99,337,56,37,NA,1885,1585
"160",4,99,4,99,165,NA,357,NA,1713,1905
"161",4,99,4,99,14,NA,93,NA,1562,1641
"162",7,3,5,99,353,9,74,NA,1041,2138
"163",4,99,4,99,33,NA,383,NA,1581,1931
"164",4,99,4,99,400,NA,245,NA,1948,1793
"165",5,3,5,99,219,14,129,NA,1046,2193
"166",14,99,5,99,171,NA,149,NA,6879,2213
"167",4,99,4,99,151,NA,451,NA,1699,1999
"168",4,99,4,99,60,NA,222,NA,1608,1770
"169",5,99,4,99,185,NA,110,NA,2249,1658
"170",3,99,4,99,431,NA,121,NA,1463,1669
"171",4,99,4,99,157,NA,269,NA,1705,1817
"172",4,99,3,99,18,NA,435,NA,1566,1467
"173",5,99,5,99,95,NA,149,NA,2159,2213
"174",7,99,4,99,353,NA,379,NA,3449,1927
"175",5,3,4,99,42,16,78,NA,1048,1626
"176",99,3,4,99,NA,13,408,NA,1045,1956
"177",3,9,4,99,451,84,370,NA,1483,1918
"178",5,9,4,99,85,84,140,NA,2149,1688
"179",4,99,4,99,197,NA,216,NA,1745,1764
"180",4,99,4,99,143,NA,234,NA,1691,1782
"181",3,99,4,99,385,NA,357,NA,1417,1905
"182",4,99,3,99,55,NA,450,NA,1603,1482
"183",5,99,5,7,83,NA,43,24,2147,2107
"184",4,99,5,3,57,NA,154,31,1605,1063
"185",5,99,4,99,91,NA,228,NA,2155,1776
"186",4,99,4,99,4,NA,136,NA,1552,1684
"187",6,4,3,99,2,61,101,NA,1609,1133
"188",4,99,4,99,331,NA,118,NA,1879,1666
"189",5,99,4,99,54,NA,363,NA,2118,1911
"190",99,6,4,99,NA,38,101,NA,2618,1649
"191",4,9,4,99,388,84,16,NA,1936,1564
"192",4,99,3,99,67,NA,456,NA,1615,1488
"193",4,99,4,99,69,NA,67,NA,1617,1615
"194",5,99,4,99,320,NA,339,NA,2384,1887
"195",4,99,4,99,161,NA,14,NA,1709,1562
"196",4,99,4,99,55,NA,320,NA,1603,1868
"197",4,99,3,99,347,NA,333,NA,1895,1365
"198",4,99,4,99,420,NA,340,NA,1968,1888
"199",11,5,5,99,180,59,113,NA,2123,2177
"200",4,99,4,99,10,NA,37,NA,1558,1585
"201",3,99,3,99,455,NA,417,NA,1487,1449
"202",3,99,4,99,333,NA,337,NA,1365,1885
"203",4,99,4,99,78,NA,346,NA,1626,1894
"204",4,99,5,3,433,NA,195,24,1981,1056
"205",3,6,3,99,390,38,388,NA,1422,1420
"206",4,99,4,99,26,NA,104,NA,1574,1652
"207",4,99,5,99,114,NA,31,NA,1662,2095
"208",3,99,3,99,304,NA,455,NA,1336,1487
"209",4,9,3,99,224,84,429,NA,1772,1461
"210",4,99,4,99,219,NA,250,NA,1767,1798
"211",4,99,4,99,212,NA,230,NA,1760,1778
"212",4,99,4,99,306,NA,114,NA,1854,1662
"213",5,3,4,99,13,8,185,NA,1040,1733
"214",4,99,3,99,317,NA,388,NA,1865,1420
"215",5,3,4,99,46,2,267,NA,1034,1815
"216",4,9,4,99,319,84,288,NA,1867,1836
"217",3,99,3,99,369,NA,345,NA,1401,1377
"218",4,6,6,3,333,38,41,32,1881,1064
"219",4,99,3,99,214,NA,347,NA,1762,1379
"220",4,99,4,99,164,NA,2,NA,1712,1550
"221",4,99,7,4,115,NA,334,62,1663,1610
"222",4,99,4,99,55,NA,108,NA,1603,1656
"223",3,99,4,99,463,NA,55,NA,1495,1603
"224",4,99,4,99,94,NA,55,NA,1642,1603
"225",11,4,4,99,180,15,226,NA,1563,1774
"226",4,6,4,99,405,38,180,NA,1953,1728
"227",4,99,4,99,296,NA,95,NA,1844,1643
"228",4,99,4,99,151,NA,374,NA,1699,1922
"229",4,99,3,99,241,NA,289,NA,1789,1321
"230",6,99,6,4,105,NA,41,57,2685,1605
"231",3,99,3,99,380,NA,295,NA,1412,1327
"232",3,99,4,99,392,NA,195,NA,1424,1743
"233",4,99,4,99,186,NA,394,NA,1734,1942
"234",4,99,4,99,315,NA,246,NA,1863,1794
"235",11,9,4,99,180,84,185,NA,4212,1733
"236",4,99,4,99,28,NA,172,NA,1576,1720
"237",4,99,5,3,57,NA,134,38,1605,1070
"238",3,99,3,99,286,NA,409,NA,1318,1441
"239",4,99,7,99,45,NA,3,NA,1593,3099
"240",5,3,4,99,219,28,270,NA,1060,1818
