"","TMask1.RESP.Trial.","TMask2.RESP.Trial.","TMask3.RESP.Trial.","TMask4.RESP.Trial.","TMask5.RESP.Trial.","TMask6.RESP.Trial.","TMask7.RESP.Trial.","TMask8.RESP.Trial.","TMask9.RESP.Trial.","TMask10.RESP.Trial.","TMask11.RESP.Trial.","TMask12.RESP.Trial.","TMask13.RESP.Trial.","TMask14.RESP.Trial.","TMask15.RESP.Trial.","TMask16.RESP.Trial.","TMask17.RESP.Trial.","TMask18.RESP.Trial.","TMask1.RT.Trial.","TMask2.RT.Trial.","TMask3.RT.Trial.","TMask4.RT.Trial.","TMask5.RT.Trial.","TMask6.RT.Trial.","TMask7.RT.Trial.","TMask8.RT.Trial.","TMask9.RT.Trial.","TMask10.RT.Trial.","TMask11.RT.Trial.","TMask12.RT.Trial.","TMask13.RT.Trial.","TMask14.RT.Trial.","TMask15.RT.Trial.","TMask16.RT.Trial.","TMask17.RT.Trial.","TMask18.RT.Trial."
"1",0,"0","{SPACE}","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,386,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,"0","{SPACE}","0","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,"0","{SPACE}","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,306,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,"0","0","0","{SPACE}","0","0","0","{SPACE}",0,"0",0,"0",0,"0",0,0,"0",0,0,0,0,65,0,0,0,140,0,0,0,0,0,0,0,0,0
"5",0,"0","0","{SPACE}","0","{SPACE}","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,0,96,0,52,0,0,0,0,0,0,0,0,0,0,0,213
"6",0,"0","0","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,213
"7",0,"0","{SPACE}","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,288,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,"0","{SPACE}","{SPACE}","0","{SPACE}","{SPACE}","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,38,443,0,185,384,0,0,0,0,0,0,0,0,0,0,213
"9",0,"0","0","0","0","0","{SPACE}","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,213
"10",0,"0","0","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,"0","{SPACE}","0","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,"0","{SPACE}","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,29,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,"0","0","0","0","0","{SPACE}","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0
"14",0,"{SPACE}","{SPACE}","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,460,191,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,"0","0","0","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,"0","0","{SPACE}","{SPACE}","0","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,0,213
"17",0,"0","{SPACE}","0","0","{SPACE}","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,357,0,0,86,0,0,0,0,0,0,0,0,0,0,0,213
"18",0,"0","0","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,"0","0","{SPACE}","{SPACE}","0","0","0","{SPACE}",0,"0",0,"0",0,"{SPACE}",0,0,"0",0,0,0,103,374,0,0,0,30,0,0,0,0,0,215,0,0,0
"20",0,"0","{SPACE}","0","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,"0","0","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,213
"22",0,"0","0","0","{SPACE}","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,"0","0","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,213
"24",0,"0","0","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,"0","0","0","0","{SPACE}","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,213
"26",0,"0","{SPACE}","0","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
"27",0,"0","0","{SPACE}","0","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,"0","0","{SPACE}","{SPACE}","0","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,0,49,291,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,"0","0","0","{SPACE}","0","0","0","0",0,"0",0,"0",0,"0",0,0,"{SPACE}",0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,213
"30",0,"0","{SPACE}","0","0","{SPACE}","0","0","0",0,"0",0,"0",0,"0",0,0,"0",0,0,396,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
