"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",6,99,5,6,172,NA,147,71,2752,2211
"2",5,99,4,99,64,NA,299,NA,2128,1847
"3",4,99,5,99,196,NA,413,NA,1744,2477
"4",6,7,7,99,288,23,190,NA,2868,3286
"5",6,7,6,99,223,23,337,NA,2803,2917
"6",7,99,5,99,268,NA,167,NA,3364,2231
"7",6,7,4,99,109,23,207,NA,2689,1755
"8",4,9,10,5,218,24,223,42,1766,2106
"9",4,99,7,99,257,NA,238,NA,1805,3334
"10",4,99,4,99,211,NA,248,NA,1759,1796
"11",4,99,4,99,216,NA,413,NA,1764,1961
"12",5,99,4,8,181,NA,411,26,2245,1959
"13",4,7,5,8,198,23,30,26,1746,2094
"14",4,5,4,99,274,15,312,NA,1822,1860
"15",5,8,5,6,101,61,133,71,2165,2197
"16",4,99,6,99,240,NA,24,NA,1788,2604
"17",6,99,7,4,318,NA,29,60,2898,1608
"18",5,99,10,99,184,NA,223,NA,2248,4867
"19",5,99,6,99,172,NA,241,NA,2236,2821
"20",4,6,5,99,263,52,274,NA,1811,2338
"21",4,7,6,99,339,23,81,NA,1887,2661
"22",5,7,4,99,40,23,320,NA,2104,1868
"23",4,99,5,99,304,NA,298,NA,1852,2362
"24",4,99,4,8,343,NA,395,26,1891,1943
"25",5,99,5,99,78,NA,11,NA,2142,2075
"26",11,7,4,99,130,68,347,NA,3164,1895
"27",4,6,5,99,62,52,4,NA,1610,2068
"28",4,9,10,5,297,24,223,6,1845,2070
"29",4,9,4,6,230,24,358,39,1778,1906
"30",6,7,4,99,31,23,239,NA,2611,1787
"31",6,99,7,99,256,NA,383,NA,2836,3479
"32",5,99,5,99,251,NA,352,NA,2315,2416
"33",5,99,8,99,207,NA,227,NA,2271,3839
"34",6,7,8,4,141,23,4,60,2721,1608
"35",4,99,6,99,418,NA,285,NA,1966,2865
"36",4,7,99,4,334,23,NA,3,1882,1551
"37",5,7,4,99,189,23,22,NA,2253,1570
"38",5,99,5,99,273,NA,339,NA,2337,2403
"39",4,99,8,99,359,NA,355,NA,1907,3967
"40",6,99,5,99,72,NA,167,NA,2652,2231
"41",5,7,6,99,226,23,76,NA,2290,2656
"42",5,99,6,99,82,NA,43,NA,2146,2623
"43",6,99,7,5,377,NA,166,65,2957,2129
"44",5,99,5,99,24,NA,44,NA,2088,2108
"45",5,99,5,99,53,NA,250,NA,2117,2314
"46",6,9,5,6,166,24,228,71,2746,2292
