ExperimentName,subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli1,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,2,1,S2,134,3,-0.606,-0.231,-0.486,-0.607,C212,6.806,11.595,13.091972,-0.5465,4,9.2005,-0.4185,15,O A T S,oats{SPACE},1075,212,T E A M,team{SPACE},971,3,1,1,968,893
NetworksDemasking,2,1,S2,243,4,-0.462,-0.293,-0.253,-0.444,C213,7.293,9.565,17.03564,-0.3485,7.5,8.429,-0.3775,6,P I N T,pint{SPACE},1319,213,T E M P E R A T U R E,temperature{SPACE},1846,3,1,1,2222,1821
NetworksDemasking,2,1,S2,127,3,0.038,-0.579,-0.442,-0.816,C214,8.137,14.088,16.544181,-0.629,5.5,11.1125,-0.2705,6,C I R C U S,circus{SPACE},1131,214,T H E R E,there{SPACE},748,3,1,1,955,895
NetworksDemasking,2,1,S2,232,2,0.259,-0.454,0.21,-0.553,C215,6.068,12.403,9.369918,-0.1715,7.5,9.2355,-0.0975,2,D I S S I M I L A R,dissimilar{SPACE},5205,215,T H I N G,thing{SPACE},1123,2,1,1,5916,1634
NetworksDemasking,2,1,S2,226,4,-0.482,-0.576,-0.642,-0.477,C216,10.177,9.604,20.184545,-0.5595,5,9.8905,-0.529,6,J E W I S H,jewish{SPACE},1258,216,T O N E,tone{SPACE},748,4,1,1,877,862
NetworksDemasking,2,1,S2,4,5,-0.632,-0.256,-0.498,-0.704,C217,9.957,8.439,25.937433,-0.601,7,9.198,-0.444,6,F A N T A S Y,fantasy{SPACE},5498,217,T O U R I S T,tourist{SPACE},5000,3,1,1,1759,1307
NetworksDemasking,2,1,S2,198,5,-0.284,-0.257,-0.274,0.436,C218,6.17,6.781,19.629186,0.081,7.5,6.4755,-0.2705,6,D A S H B O A R D,dashboard{SPACE},2904,218,T R E B L E,treble{SPACE},1970,3,1,1,974,2216
NetworksDemasking,2,1,S2,207,4,-0.52,-0.615,-0.586,-0.671,C219,10.064,9.888,19.383893,-0.6285,4.5,9.976,-0.5675,15,T O U R,tour{SPACE},904,219,T R I A L,trial{SPACE},1444,3,1,1,956,936
NetworksDemasking,2,1,S2,220,4,-0.664,0.106,-0.857,-0.13,C220,9.637,5.056,17.538396,-0.4935,6,7.3465,-0.279,1,T O Y S,toys{SPACE},3359,220,T R I C Y C L E,tricycle{SPACE},1892,2,1,1,864,970
NetworksDemasking,2,1,S2,112,2,0.154,-0.585,-0.035,-0.548,C221,7.854,10.874,6.980829,-0.2915,5,9.364,-0.2155,3,L I B E L,libel{SPACE},1330,221,T R U T H,truth{SPACE},1680,2,1,1,917,932
NetworksDemasking,2,1,S2,159,6,-0.503,-0.387,-0.676,-0.352,C222,10.446,8.824,22.650615,-0.514,5.5,9.635,-0.445,1,C O U N T,count{SPACE},1455,222,T W E L V E,twelve{SPACE},2727,2,1,1,930,538
NetworksDemasking,2,1,S2,47,5,-0.133,-0.672,-0.477,-0.2,C223,7.928,7.816,19.381559,-0.3385,7.5,7.872,-0.4025,4,C A N A L,canal{SPACE},2059,223,U N D E R W A T E R,underwater{SPACE},2661,3,1,1,1826,530
NetworksDemasking,2,1,S2,62,2,-0.719,-0.197,-0.489,0.268,C224,12.195,3.97,6.912708,-0.1105,7,8.0825,-0.458,2,R E A L,real{SPACE},818,224,U N T R U T H F U L,untruthful{SPACE},3147,2,1,1,1754,2077
NetworksDemasking,2,1,S2,16,3,-0.612,-0.301,-0.544,-0.36,C225,8.128,9.158,11.405463,-0.452,5.5,8.643,-0.4565,6,C A B,cab{SPACE},1345,225,V A C A T I O N,vacation{SPACE},4501,2,1,1,785,531
NetworksDemasking,2,1,S2,215,4,-0.061,-0.563,-0.556,-0.437,C226,11.938,7.241,16.893439,-0.4965,6.5,9.5895,-0.312,3,C O N T R O L,control{SPACE},1553,226,V A N I S H,vanish{SPACE},1081,3,1,1,951,875
NetworksDemasking,2,1,S2,19,2,-0.589,-0.359,-0.78,-0.516,C227,11.223,7.712,8.295519,-0.648,5.5,9.4675,-0.474,1,C O L O R,color{SPACE},1208,227,V E L V E T,velvet{SPACE},3194,2,1,1,528,942
NetworksDemasking,2,1,S2,109,6,-0.5,-0.528,-0.734,-0.349,C228,9.779,9.096,28.064926,-0.5415,5.5,9.4375,-0.514,4,R O Y A L,royal{SPACE},1185,228,V I C T O R,victor{SPACE},1431,3,1,1,882,824
NetworksDemasking,2,1,S2,238,4,-0.665,-0.198,-0.725,-0.378,C229,7.421,9.491,17.556333,-0.5515,6,8.456,-0.4315,1,M O T E L,motel{SPACE},1395,229,V I L L A G E,village{SPACE},1703,2,1,1,919,2470
NetworksDemasking,2,1,S2,22,4,-0.042,-0.353,-0.269,-0.444,C230,8.529,6.772,17.978981,-0.3565,5.5,7.6505,-0.1975,1,C E R E M O N Y,ceremony{SPACE},3583,230,V O W,vow{SPACE},840,2,1,1,1197,1091
NetworksDemasking,2,1,S2,167,4,-0.693,-0.58,-0.386,-0.01,C231,5.852,5.858,20.184094,-0.198,4,5.855,-0.6365,6,B R I S K,brisk{SPACE},1549,231,W A G,wag{SPACE},900,3,1,1,879,919
NetworksDemasking,2,1,S2,205,3,-0.407,-0.592,-0.372,-0.577,C232,8.565,6.919,12.283595,-0.4745,6,7.742,-0.4995,3,P L A T E S,plates{SPACE},1051,232,W A S H E R,washer{SPACE},933,3,1,1,545,887
